217 301
240.03 32.214 -2897
240.03 32.199 -3365
240.03 32.185 -3549
240.03 32.171 -3603
240.03 32.157 -3557
240.03 32.143 -3551
240.03 32.129 -3543
240.03 32.115 -3541
240.03 32.101 -3553
240.03 32.087 -3569
240.03 32.072 -3585
240.03 32.058 -3579
240.03 32.044 -3543
240.03 32.03 -3477
240.03 32.016 -3451
240.03 32.002 -3323
240.04 35.003 725
240.04 34.989 877
240.04 34.976 1171
240.04 34.962 1349
240.04 34.948 1403
240.04 34.935 1155
240.04 34.921 993
240.04 34.907 925
240.04 34.894 1007
240.04 34.88 853
240.04 34.866 749
240.04 34.853 663
240.04 34.839 533
240.04 34.825 573
240.04 34.812 807
240.04 34.798 777
240.04 34.784 627
240.04 34.771 771
240.04 34.757 735
240.04 34.743 1061
240.04 34.73 1211
240.04 34.716 1183
240.04 34.702 897
240.04 34.688 621
240.04 34.675 465
240.04 34.661 397
240.04 34.647 339
240.04 34.633 387
240.04 34.62 369
240.04 34.606 291
240.04 34.592 243
240.04 34.579 235
240.04 34.565 299
240.04 34.551 481
240.04 34.538 695
240.04 34.524 971
240.04 34.51 601
240.04 34.496 387
240.04 34.483 207
240.04 34.469 127
240.04 34.455 75
240.04 34.441 25
240.04 34.428 -19
240.04 34.414 -55
240.04 34.4 -71
240.04 34.386 -141
240.04 34.373 -385
240.04 34.359 -429
240.04 34.345 -455
240.04 34.331 -481
240.04 34.318 -527
240.04 34.304 -531
240.04 34.29 -531
240.04 34.276 -539
240.04 34.263 -563
240.04 34.249 -565
240.04 34.235 -569
240.04 34.221 -725
240.04 34.207 -569
240.04 34.194 -551
240.04 34.18 -547
240.04 34.166 -507
240.04 34.152 -385
240.04 34.138 -233
240.04 34.125 -111
240.04 34.111 -101
240.04 34.097 -85
240.04 34.083 -69
240.04 34.069 -53
240.04 34.056 -43
240.04 34.042 -39
240.04 34.028 -41
240.04 34.014 -41
240.04 34 -41
240.04 33.986 -41
240.04 33.973 -13
240.04 33.959 -15
240.04 33.945 -17
240.04 33.931 -33
240.04 33.917 -37
240.04 33.904 -61
240.04 33.89 -65
240.04 33.876 -75
240.04 33.862 -83
240.04 33.848 -95
240.04 33.834 -99
240.04 33.821 -111
240.04 33.807 -115
240.04 33.793 -123
240.04 33.779 -179
240.04 33.765 -187
240.04 33.751 -173
240.04 33.737 -135
240.04 33.724 -129
240.04 33.71 -129
240.04 33.696 -131
240.04 33.682 -131
240.04 33.668 -135
240.04 33.654 -137
240.04 33.64 -153
240.04 33.627 -253
240.04 33.613 -399
240.04 33.599 -431
240.04 33.585 -605
240.04 33.571 -605
240.04 33.557 -623
240.04 33.543 -643
240.04 33.529 -707
240.04 33.515 -777
240.04 33.502 -797
240.04 33.488 -839
240.04 33.474 -879
240.04 33.46 -885
240.04 33.446 -915
240.04 33.432 -913
240.04 33.418 -907
240.04 33.404 -881
240.04 33.39 -867
240.04 33.376 -861
240.04 33.362 -871
240.04 33.348 -957
240.04 33.334 -945
240.04 33.321 -963
240.04 33.307 -987
240.04 33.293 -973
240.04 33.279 -969
240.04 33.265 -971
240.04 33.251 -933
240.04 33.237 -885
240.04 33.223 -835
240.04 33.209 -909
240.04 33.195 -1045
240.04 33.181 -1105
240.04 33.167 -1173
240.04 33.153 -1147
240.04 33.139 -1149
240.04 33.125 -1137
240.04 33.111 -1137
240.04 33.097 -1079
240.04 33.084 -1031
240.04 33.069 -967
240.04 33.056 -873
240.04 33.042 -785
240.04 33.028 -753
240.04 33.014 -673
240.04 33 -617
240.04 32.986 -603
240.04 32.972 -641
240.04 32.958 -625
240.04 32.944 -629
240.04 32.93 -673
240.04 32.916 -1115
240.04 32.902 -1043
240.04 32.888 -1015
240.04 32.874 -1165
240.04 32.86 -1179
240.04 32.846 -1193
240.04 32.832 -1189
240.04 32.818 -1187
240.04 32.804 -1191
240.04 32.79 -1203
240.04 32.776 -1035
240.04 32.762 -797
240.04 32.748 -985
240.04 32.734 -987
240.04 32.72 -1043
240.04 32.706 -1055
240.04 32.692 -1137
240.04 32.678 -1135
240.04 32.664 -1251
240.04 32.65 -1305
240.04 32.636 -1291
240.04 32.621 -1199
240.04 32.607 -1285
240.04 32.593 -1645
240.04 32.579 -1621
240.04 32.565 -1631
240.04 32.551 -1639
240.04 32.537 -1657
240.04 32.523 -1663
240.04 32.509 -1657
240.04 32.495 -1651
240.04 32.481 -1649
240.04 32.467 -1637
240.04 32.453 -1513
240.04 32.439 -1165
240.04 32.425 -949
240.04 32.411 -905
240.04 32.397 -923
240.04 32.383 -987
240.04 32.368 -1287
240.04 32.354 -1425
240.04 32.34 -1929
240.04 32.326 -2069
240.04 32.312 -2235
240.04 32.298 -2265
240.04 32.284 -2229
240.04 32.27 -2169
240.04 32.256 -2189
240.04 32.242 -2319
240.04 32.228 -2467
240.04 32.214 -2631
240.04 32.199 -2845
240.04 32.185 -3381
240.04 32.171 -3571
240.04 32.157 -3523
240.04 32.143 -3511
240.04 32.129 -3525
240.04 32.115 -3519
240.04 32.101 -3519
240.04 32.087 -3539
240.04 32.072 -3567
240.04 32.058 -3573
240.04 32.044 -3565
240.04 32.03 -3537
240.04 32.016 -3481
240.04 32.002 -3455
240.06 35.003 647
240.06 34.989 725
240.06 34.976 941
240.06 34.962 1103
240.06 34.948 1357
240.06 34.935 1377
240.06 34.921 1179
240.06 34.907 1079
240.06 34.894 963
240.06 34.88 803
240.06 34.866 659
240.06 34.853 545
240.06 34.839 529
240.06 34.825 697
240.06 34.812 1051
240.06 34.798 885
240.06 34.784 739
240.06 34.771 621
240.06 34.757 771
240.06 34.743 965
240.06 34.73 1177
240.06 34.716 1191
240.06 34.702 1001
240.06 34.688 699
240.06 34.675 461
240.06 34.661 403
240.06 34.647 439
240.06 34.633 419
240.06 34.62 417
240.06 34.606 295
240.06 34.592 267
240.06 34.579 241
240.06 34.565 277
240.06 34.551 415
240.06 34.538 649
240.06 34.524 873
240.06 34.51 539
240.06 34.496 431
240.06 34.483 257
240.06 34.469 171
240.06 34.455 111
240.06 34.441 49
240.06 34.428 -11
240.06 34.414 -49
240.06 34.4 -65
240.06 34.386 -83
240.06 34.373 -337
240.06 34.359 -415
240.06 34.345 -437
240.06 34.331 -467
240.06 34.318 -503
240.06 34.304 -519
240.06 34.29 -523
240.06 34.276 -525
240.06 34.263 -561
240.06 34.249 -557
240.06 34.235 -555
240.06 34.221 -563
240.06 34.207 -557
240.06 34.194 -541
240.06 34.18 -527
240.06 34.166 -493
240.06 34.152 -423
240.06 34.138 -201
240.06 34.125 -107
240.06 34.111 -101
240.06 34.097 -85
240.06 34.083 -61
240.06 34.069 -43
240.06 34.056 -27
240.06 34.042 -41
240.06 34.028 -43
240.06 34.014 -41
240.06 34 -45
240.06 33.986 -63
240.06 33.973 -65
240.06 33.959 -65
240.06 33.945 -65
240.06 33.931 -65
240.06 33.917 -75
240.06 33.904 -79
240.06 33.89 -81
240.06 33.876 -83
240.06 33.862 -91
240.06 33.848 -101
240.06 33.834 -109
240.06 33.821 -113
240.06 33.807 -117
240.06 33.793 -133
240.06 33.779 -179
240.06 33.765 -175
240.06 33.751 -173
240.06 33.737 -139
240.06 33.724 -129
240.06 33.71 -135
240.06 33.696 -133
240.06 33.682 -133
240.06 33.668 -139
240.06 33.654 -145
240.06 33.64 -191
240.06 33.627 -341
240.06 33.613 -531
240.06 33.599 -603
240.06 33.585 -611
240.06 33.571 -597
240.06 33.557 -601
240.06 33.543 -625
240.06 33.529 -641
240.06 33.515 -659
240.06 33.502 -665
240.06 33.488 -773
240.06 33.474 -847
240.06 33.46 -883
240.06 33.446 -905
240.06 33.432 -909
240.06 33.418 -893
240.06 33.404 -871
240.06 33.39 -857
240.06 33.376 -847
240.06 33.362 -839
240.06 33.348 -841
240.06 33.334 -877
240.06 33.321 -921
240.06 33.307 -979
240.06 33.293 -973
240.06 33.279 -969
240.06 33.265 -969
240.06 33.251 -933
240.06 33.237 -821
240.06 33.223 -775
240.06 33.209 -821
240.06 33.195 -981
240.06 33.181 -1017
240.06 33.167 -1061
240.06 33.153 -1117
240.06 33.139 -1127
240.06 33.125 -1077
240.06 33.111 -1079
240.06 33.097 -1113
240.06 33.084 -1075
240.06 33.069 -1017
240.06 33.056 -981
240.06 33.042 -765
240.06 33.028 -747
240.06 33.014 -647
240.06 33 -613
240.06 32.986 -593
240.06 32.972 -609
240.06 32.958 -601
240.06 32.944 -605
240.06 32.93 -907
240.06 32.916 -1087
240.06 32.902 -1039
240.06 32.888 -989
240.06 32.874 -1109
240.06 32.86 -1189
240.06 32.846 -1203
240.06 32.832 -1195
240.06 32.818 -1191
240.06 32.804 -1181
240.06 32.79 -1179
240.06 32.776 -1081
240.06 32.762 -775
240.06 32.748 -763
240.06 32.734 -823
240.06 32.72 -987
240.06 32.706 -1011
240.06 32.692 -1013
240.06 32.678 -1009
240.06 32.664 -1095
240.06 32.65 -1211
240.06 32.636 -1375
240.06 32.621 -1485
240.06 32.607 -1467
240.06 32.593 -1613
240.06 32.579 -1581
240.06 32.565 -1567
240.06 32.551 -1553
240.06 32.537 -1607
240.06 32.523 -1635
240.06 32.509 -1649
240.06 32.495 -1661
240.06 32.481 -1651
240.06 32.467 -1627
240.06 32.453 -1551
240.06 32.439 -1139
240.06 32.425 -987
240.06 32.411 -939
240.06 32.397 -929
240.06 32.383 -959
240.06 32.368 -1193
240.06 32.354 -1135
240.06 32.34 -1833
240.06 32.326 -1971
240.06 32.312 -2161
240.06 32.298 -2183
240.06 32.284 -2123
240.06 32.27 -1967
240.06 32.256 -1953
240.06 32.242 -2027
